nr.	meno	pace
1	Karol	05:30
2	Ďuri	05:30
3	Matej	05:30
4	Dávid	04:42
5	Patrik	05:30
6	Vlado	05:30
7	Ďuri	05:30
8	Luki	04:42
9	Dávid	04:42
10	Ela	06:00
11	Patrik	05:30
12	Matej	05:30
13	Kubo	04:30
14	Robo	04:30
15	Gabi	06:30
16	Laci	05:30
17	Baška	05:30
18	Janko	07:00
19	Robo	04:30
20	Kubo	04:30
21	Janka	05:30
22	Laci	05:30
23	Gabi	06:30
24	Baška	05:30
25	Karol	05:30
26	Ďuri	05:30
27	Vlado	05:30
28	Ela	06:00
29	Patrik	05:30
30	Matej	05:30
31	Dávid	04:42
32	Luki	04:42
33	Karol	05:30
34	Vlado	05:30
35	Ela	06:00
36	Luki	04:42
37	Baška	05:30
38	Janka	05:30
39	Janko	07:00
40	Robo	04:30
41	Kubo	04:30
42	Mike	05:30
43	Janka	05:30
44	Robo	04:30
45	Gabi	06:30
46	Laci	05:30
47	Mike	05:30
48	Janko	07:00
